Sensor 0,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Healthy
2201558.75,1439718.75,2681505.75,1514232.875,2019226,1731191.875,1898493.625,1877607.125,1
1590988.5,1021701.188,1905116.25,1087626.125,1407076.625,1205769.75,1362155,1314927.75,1
1202583.625,600592.4366,1381450.25,1087626.125,1035651.063,1048143.113,1021701.188,1314927.75,1
2261733.75,1371734.75,2488456.75,1451967.375,1871174,1645640.875,1927983,1902461.625,1
1586367.125,955892.625,1731191.875,1005153.375,1274424.375,1112438.875,1323852.625,1308626.25,1
1008122.063,602884.875,1038013.188,1005153.375,1274424.375,1112438.875,1323852.625,1130475.638,1
593451.1875,404104.1875,760066.8125,429530.1875,569680.125,474623.4063,574957.875,533611.25,1
428990.375,275862.0625,529883.5625,294676.25,388688.5625,322215.2188,399375.9688,361837.4688,1
308248.0313,202411.5469,365714.2813,213555.7813,270398.7188,232304.9063,279019.0625,259700.7344,1
47063556,27148302,49554632,26141204,33368636,24665412,35714440,31089184,1
20239654,11350191,19674572,26141204,33368636,8928610,12195013,11690332,1
7609846.5,4152052.75,7260802,4011753.25,3451443,3069314.25,4381920.5,4336686,1
544246.625,362606.2188,733787.1875,386488.0313,489600.75,416429.4375,505928.8438,462093.875,1
393619.0625,263306.75,510468.5938,269971,346766,291654.8125,349607.375,324667.0938,1
278563.6563,183446.7969,350325,191509.25,240488.5,207834.375,250918.8906,230734.5625,1
946614.3125,628992.625,1272049.75,681757.6875,855293.375,745812.0625,866694.875,839516.3125,1
653686.5625,442332.625,867245.375,467153.2813,584308.125,515090.5313,599180.8125,567784.875,1
421312.5,271474.0313,522982.625,285554.9375,366106.5313,324667.0938,389353.625,358794.6875,1
4096000,2415806.5,4196721.5,2629855.5,3309230.5,2843457.25,3313245.75,3219493,1
2814153.25,1672860.875,2837547.75,1806793.125,2230329.5,1971126.125,2252405.75,2196246.75,1
1415831.375,822820.4375,1408528.25,861771.5,1043566.875,926068.25,1122499.375,1091975.5,1
1475504.375,971537,1596569.875,1001467,1282806.125,1195214.5,1304874.125,1325137.5,1
1011108.375,660006.4375,1596569.875,1001467,1282806.125,797818.4375,890434.8125,898048.6875,1
746627.75,474953.625,783623.5,495284.1563,622681.6875,582314.5,636617.9375,644430.4375,1
547740.0625,396131.5313,668407.3125,387805.3438,510468.5938,469724.7813,534446.75,536125.625,1
414658.8438,279705,668407.3125,279475.9688,363765.5313,334859.375,395214.1875,388688.5625,1
238305.7969,157248.1563,668407.3125,150322.9531,221023.0938,203619.0156,239140.5938,238805.9688,1
